episode,global_step,episodes_completed,reward,loss,epsilon,steps,slices,current_max_slices,attempts,rejected_slices,covered,hard_total,crop_new_detection_gain,crop_new_detection_utility,crop_tp_gain,crop_fp_gain,crop_outcome_reward,val_recall,val_slices,val_score,val_mAP50,val_small_recall,val_fp_per_image,val_crops,val_benchmark_score
52,818,52,-6.535733,0.0,0.948193,14,1,1,2,1,0,2,3,1.724922,1,3,-0.637539,,,,,,,,
53,839,53,-18.455486,0.0,0.946863,26,0,1,4,4,0,18,1,0.616263,0,1,-4.791868,,,,,,,,
54,852,54,-8.849596,0.0,0.94604,5,1,1,1,0,0,55,14,6.582316,2,12,-8.708842,,,,,,,,
55,868,55,4.607536,0.0,0.945027,1,1,1,1,0,2,4,1,0.661981,1,1,1.83099,,,,,,,,
56,870,56,-1.979983,0.0,0.9449,6,1,1,1,0,0,0,1,0.670847,0,1,-1.164577,,,,,,,,
57,871,57,3.188889,0.0,0.944837,2,1,1,2,1,0,6,1,0.524948,4,2,8.062474,,,,,,,,
58,879,58,-11.429571,0.0,0.94433,19,0,1,4,4,0,16,1,0.594058,1,0,-0.302971,,,,,,,,
59,884,59,-5.646485,0.0,0.944013,1,1,1,1,0,0,12,2,0.731726,0,4,-5.634137,,,,,,,,
60,895,60,1.11734,0.0,0.943317,1,1,1,1,0,1,9,4,1.695166,2,5,-0.652417,,,,,,,,
61,918,61,27.525862,0.0,0.94186,3,1,1,1,0,9,10,10,4.56226,8,8,14.28113,,,,,,,,
62,921,62,-10.003463,0.0,0.94167,16,1,1,3,2,0,3,2,0.771515,1,1,0.685758,,,,,,,,
63,976,63,-29.364706,0.0,0.938187,28,0,1,4,4,0,0,7,3.139943,1,8,-7.430029,,,,,,,,
64,1004,64,-15.104184,0.0,0.936413,22,0,1,4,4,0,0,0,0.0,0,0,-4.8,,,,,,,,
65,1011,65,-23.336967,0.0,0.93597,27,1,1,4,3,0,0,2,0.780021,0,2,-6.20999,,,,,,,,
66,1024,66,12.159258,0.0,0.935147,3,1,1,1,0,1,21,5,2.80469,4,1,11.902345,,,,,,,,
