episode,global_step,episodes_completed,reward,loss,epsilon,steps,slices,current_max_slices,attempts,rejected_slices,covered,hard_total,crop_new_detection_gain,crop_new_detection_utility,crop_tp_gain,crop_fp_gain,crop_outcome_reward,val_recall,val_slices,val_score,val_mAP50,val_small_recall,val_fp_per_image,val_crops,val_benchmark_score
51,870,51,18.272301,0.0,0.9449,1,1,1,1,0,4,9,5,2.414315,4,1,11.707157,,,,,,,,
52,889,52,0.705081,0.0,0.943697,4,1,1,1,0,0,2,3,1.310162,1,2,0.655081,,,,,,,,
53,892,53,5.799523,0.0,0.943507,28,0,1,4,4,0,19,5,2.799046,5,3,8.299523,,,,,,,,
54,915,54,-3.100986,0.0,0.94205,8,1,1,2,1,0,4,1,0.598027,0,1,-2.400986,,,,,,,,
55,916,55,0.013003,0.0,0.941987,9,1,1,2,1,0,15,1,0.826005,1,1,0.713003,,,,,,,,
56,920,56,-3.775174,0.0,0.941733,22,1,1,4,3,0,0,2,0.975701,1,2,-1.91215,,,,,,,,
57,921,57,-0.460528,0.0,0.94167,2,1,1,1,0,0,5,4,1.978944,1,3,-0.510528,,,,,,,,
58,926,58,-0.467915,0.0,0.941353,16,1,1,3,2,0,31,1,0.76417,1,0,0.982085,,,,,,,,
59,977,59,21.173556,0.0,0.938123,15,1,1,3,2,7,15,5,2.368541,5,3,11.684271,,,,,,,,
60,978,60,-8.128753,0.0,0.93806,27,0,1,4,4,0,8,3,1.542494,0,3,-6.128753,,,,,,,,
61,987,61,-5.244085,0.0,0.93749,25,0,1,4,4,0,1,3,1.31183,1,3,-3.244085,,,,,,,,
62,1005,62,16.145245,0.0,0.93635,9,1,1,2,1,3,9,8,4.900921,5,4,11.450461,,,,,,,,
63,1018,63,36.293168,0.0,0.935527,23,1,1,4,3,6,19,14,9.245866,11,3,29.522933,,,,,,,,
64,1029,64,-7.8,0.0,0.93483,24,0,1,4,4,0,9,0,0.0,0,0,-4.8,,,,,,,,
65,1085,65,-3.940828,0.631922,0.931283,5,1,1,1,0,0,1,3,1.018344,0,3,-3.990828,,,,,,,,
66,1086,66,0.300711,0.677459,0.93122,10,1,1,2,1,1,10,4,1.674852,1,3,-0.662574,,,,,,,,
67,1112,67,30.556501,0.582075,0.929573,12,1,1,2,1,0,13,14,7.513002,11,4,30.756501,,,,,,,,
68,1183,68,-10.505708,0.463369,0.925077,28,0,1,4,4,0,0,5,2.788583,0,5,-8.505708,,,,,,,,
