episode,global_step,episodes_completed,reward,loss,epsilon,steps,slices,current_max_slices,attempts,rejected_slices,covered,hard_total,crop_new_detection_gain,crop_new_detection_utility,crop_tp_gain,crop_fp_gain,crop_outcome_reward,val_recall,val_slices,val_score,val_mAP50,val_small_recall,val_fp_per_image,val_crops,val_benchmark_score
51,1365,51,10.677124,0.314019,0.91355,9,1,1,2,1,3,13,2,1.076219,0,2,-2.46189,,,,,,,,
52,1370,52,-9.219963,0.355217,0.913233,22,0,1,6,6,0,0,0,0.0,0,0,-6.0,,,,,,,,
53,1405,53,-16.448352,0.380288,0.911017,37,0,1,6,6,0,0,1,0.342118,0,1,-4.928941,,,,,,,,
54,1473,54,4.422701,0.205344,0.90671,7,1,1,1,0,1,25,4,2.088349,0,4,-4.955825,,,,,,,,
55,1486,55,3.016764,0.308671,0.905887,20,1,1,4,3,3,53,6,3.557826,0,6,-9.621087,,,,,,,,
56,1503,56,-3.737635,0.280997,0.90481,21,1,1,5,4,1,53,5,2.000737,1,4,-3.199631,,,,,,,,
57,1521,57,13.438197,0.295402,0.90367,3,1,1,1,0,3,5,7,3.509455,0,7,-8.745273,,,,,,,,
58,1525,58,-7.180475,0.289188,0.903417,10,1,1,2,1,0,1,14,8.377922,7,7,14.688961,,,,,,,,
59,1546,59,-8.246486,0.281097,0.902087,11,1,1,2,1,0,0,2,1.403581,0,2,-2.29821,,,,,,,,
60,1600,60,-12.201879,0.282852,0.898667,27,0,1,6,6,0,4,0,0.0,0,1,-7.5,,,,,,,,
61,1612,61,-28.873139,0.325956,0.897907,42,0,1,6,6,0,33,0,0.0,0,0,0.0,,,,,,,,
62,1644,62,-2.5397,0.177787,0.89588,2,1,1,1,0,0,14,6,3.849835,6,1,18.424918,,,,,,,,
63,1654,63,-10.666678,0.285218,0.895247,27,0,1,6,6,0,1,2,0.745795,0,2,-3.827103,,,,,,,,
64,1667,64,-7.081792,0.257968,0.894423,25,0,1,6,6,0,1,1,0.318607,0,1,-4.940696,,,,,,,,
65,1681,65,29.38724,0.238992,0.893537,10,1,1,2,1,7,17,13,6.442696,0,13,-16.278652,,,,,,,,
66,1689,66,-15.034685,0.247636,0.89303,28,0,1,6,6,0,0,1,0.63523,0,1,-4.782385,,,,,,,,
67,1714,67,-25.956806,0.331964,0.891447,39,0,1,6,6,0,0,0,0.0,0,0,-1.2,,,,,,,,
68,1739,68,-11.261982,0.259624,0.889863,35,0,1,6,6,0,1,0,0.0,0,0,-3.6,,,,,,,,
69,1768,69,2.965517,0.280214,0.888027,35,0,1,6,6,0,18,1,0.328168,0,1,-4.935916,,,,,,,,
70,1789,70,-7.432339,0.263866,0.886697,24,0,1,6,6,0,0,0,0.0,0,0,-7.2,,,,,,,,
71,1816,71,14.300877,0.248774,0.884987,3,1,1,1,0,2,2,18,9.050661,13,5,36.025331,,,,,,,,
72,1831,72,-5.681819,0.251245,0.884037,30,1,1,6,5,1,3,6,2.934145,0,6,-11.132927,,,,,,,,
73,1860,73,-22.240944,0.277857,0.8822,39,0,1,6,6,0,7,0,0.0,0,0,-1.2,,,,,,,,
74,1874,74,-0.877329,0.260678,0.881313,10,1,1,2,1,1,25,4,2.562487,0,4,-4.718757,,,,,,,,
75,1912,75,-4.815519,0.289291,0.878907,6,1,1,2,1,0,10,8,5.475323,0,8,-10.462339,,,,,,,,
76,1959,76,20.159367,0.271519,0.87593,8,1,1,2,1,4,33,8,4.238358,0,8,-11.080821,,,,,,,,
77,1971,77,3.057772,0.264987,0.87517,19,0,1,6,6,0,2,0,0.0,0,0,-7.2,,,,,,,,
78,1973,78,7.115247,0.266743,0.875043,28,0,1,6,6,0,16,1,0.618133,0,1,-4.790934,,,,,,,,
79,2005,79,-2.456879,0.246575,0.873017,2,1,1,1,0,0,0,5,3.037335,2,3,3.018668,,,,,,,,
80,2016,80,4.633469,0.225932,0.87232,26,1,1,5,4,2,12,8,4.499696,1,7,-6.450152,,,,,,,,
81,2024,81,9.844301,0.218989,0.871813,7,1,1,1,0,2,6,4,1.801894,0,4,-5.099053,,,,,,,,
82,2055,82,9.437453,0.236141,0.86985,6,1,1,1,0,2,9,2,1.043884,0,2,-2.478058,,,,,,,,
83,2062,83,-16.295874,0.247644,0.869407,36,0,1,6,6,0,0,2,1.338749,1,1,0.969375,,,,,,,,
84,2069,84,-2.892402,0.249837,0.868963,4,1,1,1,0,0,23,4,1.562098,0,4,-5.218951,,,,,,,,
85,2075,85,36.353535,0.239219,0.868583,21,1,1,4,3,10,23,9,4.308902,0,9,-12.545549,,,,,,,,
86,2080,86,24.549502,0.226244,0.868267,4,1,1,1,0,5,20,5,2.752517,0,6,-7.623742,,,,,,,,
87,2085,87,13.664817,0.263873,0.86795,1,1,1,1,0,3,8,12,5.447446,0,12,-15.276277,,,,,,,,
88,2113,88,13.269877,0.236441,0.866177,27,1,1,6,5,1,33,9,4.383014,0,9,-16.108493,,,,,,,,
89,2134,89,38.479607,0.252623,0.864847,30,1,1,6,5,7,33,15,8.5287,2,13,-12.83565,,,,,,,,
90,2138,90,-26.881206,0.241149,0.864593,37,0,1,6,6,0,4,0,0.0,0,0,-1.2,,,,,,,,
91,2140,91,183.645651,0.240437,0.864467,31,1,1,5,4,42,69,10,5.483012,6,5,13.241506,,,,,,,,
92,2146,92,33.235451,0.23278,0.864087,17,1,1,3,2,4,68,7,2.91367,0,7,-9.043165,,,,,,,,
93,2159,93,-17.830349,0.262731,0.863263,41,0,1,6,6,0,4,0,0.0,0,0,-1.2,,,,,,,,
94,2172,94,18.921592,0.259377,0.86244,2,1,1,1,0,4,41,3,1.664339,0,3,-3.667831,,,,,,,,
95,2201,95,-15.969065,0.230868,0.860603,32,0,1,6,6,0,9,0,0.0,0,0,-3.6,,,,,,,,
96,2220,96,9.158118,0.258797,0.8594,3,1,1,1,0,2,27,10,4.815777,0,10,-12.592112,,,,,,,,
97,2256,97,14.753937,0.272602,0.85712,11,1,1,2,1,4,78,8,5.130911,1,7,-4.934545,,,,,,,,
98,2332,98,75.924742,0.242106,0.852307,7,1,1,1,0,15,54,12,5.552847,9,3,25.276424,,,,,,,,
99,2333,99,-19.006466,0.240879,0.852243,34,0,1,6,6,0,1,0,0.0,0,0,-2.4,,,,,,,,
100,2356,100,2.016229,0.232977,0.850787,31,0,1,6,6,0,12,0,0.0,0,0,-4.8,,,,,,,,
101,2413,101,3.262774,0.246172,0.847177,5,1,1,1,0,1,12,6,3.503082,0,6,-7.248459,,,,,,,,
102,2483,102,0.513563,0.214694,0.842743,32,0,1,6,6,0,4,1,0.619683,0,1,-5.990159,,,,,,,,
103,2485,103,-13.713517,0.232291,0.842617,25,1,1,6,5,0,0,5,2.703378,4,1,10.651689,,,,,,,,
104,2493,104,25.346259,0.174932,0.84211,5,1,1,1,0,5,72,3,1.618668,2,1,5.309334,,,,,,,,
105,2535,105,-3.779761,0.238002,0.83945,30,1,1,5,4,3,15,10,5.466263,0,10,-12.266868,,,,,,,,
106,2542,106,9.160397,0.233079,0.839007,30,1,1,6,5,5,27,4,1.697443,0,4,-6.351278,,,,,,,,
107,2552,107,27.327826,0.205542,0.838373,33,0,1,6,6,0,78,1,0.436265,0,1,-6.081867,,,,,,,,
108,2586,108,-9.539478,0.208352,0.83622,28,0,1,6,6,0,0,0,0.0,0,0,-6.0,,,,,,,,
109,2619,109,-20.31026,0.216348,0.83413,34,1,1,5,4,0,26,2,1.231636,0,2,-2.384182,,,,,,,,
110,2634,110,14.315109,0.223643,0.83318,3,1,1,1,0,3,47,3,1.059066,0,3,-3.970467,,,,,,,,
111,2641,111,-9.666406,0.226283,0.832737,33,0,1,6,6,0,0,0,0.0,0,0,-6.0,,,,,,,,
112,2649,112,67.425222,0.218191,0.83223,28,0,1,6,6,0,31,1,0.31436,0,1,-6.14282,,,,,,,,
113,2653,113,9.449506,0.243012,0.831977,10,1,1,2,1,3,13,3,1.818759,0,3,-3.59062,,,,,,,,
114,2669,114,38.588028,0.231016,0.830963,1,1,1,1,0,8,14,11,5.674684,0,12,-15.162658,,,,,,,,
115,2676,115,37.029079,0.211562,0.83052,20,1,1,4,3,1,21,3,1.483909,2,1,2.841955,,,,,,,,
116,2681,116,9.600317,0.286328,0.830203,2,1,1,1,0,2,30,4,3.003023,0,5,-5.998489,,,,,,,,
117,2684,117,-12.794465,0.232005,0.830013,22,1,1,4,3,0,20,1,0.837798,0,1,-3.481101,,,,,,,,
118,2735,118,-20.272116,0.221103,0.826783,36,0,1,6,6,0,7,2,0.761722,0,2,-3.819139,,,,,,,,
119,2742,119,-14.913562,0.2149,0.82634,38,0,1,6,6,0,3,1,0.449135,0,1,-6.075433,,,,,,,,
120,2744,120,28.544224,0.190835,0.826213,12,1,1,2,1,4,21,7,5.163468,0,7,-9.118266,,,,,,,,
121,2750,121,13.129631,0.214878,0.825833,13,1,1,2,1,4,6,6,3.518057,0,7,-8.740971,,,,,,,,
122,2752,122,-12.926288,0.223513,0.825707,31,0,1,6,6,0,3,1,0.316728,0,1,-3.741636,,,,,,,,
123,2754,123,-19.480652,0.216581,0.82558,38,0,1,6,6,0,13,0,0.0,0,0,-2.4,,,,,,,,
124,2850,124,7.649614,0.197374,0.8195,6,1,1,3,2,2,19,3,1.995622,0,3,-5.902189,,,,,,,,
125,2862,125,54.123625,0.173213,0.81874,7,1,1,1,0,11,40,15,7.738489,4,11,-0.630755,,,,,,,,
126,2867,126,-12.691596,0.203199,0.818423,24,0,1,6,6,0,0,2,0.844926,0,2,-4.977537,,,,,,,,
127,2869,127,-13.961027,0.219732,0.818297,24,0,1,6,6,0,0,0,0.0,0,0,-6.0,,,,,,,,
128,2876,128,14.161046,0.191985,0.817853,12,1,1,2,1,3,20,3,1.284436,2,1,5.142218,,,,,,,,
129,2898,129,-2.32205,0.211731,0.81646,3,1,1,1,0,0,21,6,3.395166,2,4,1.697583,,,,,,,,
130,2983,130,-18.104652,0.196528,0.811077,28,1,1,4,3,0,14,5,3.541603,0,5,-5.729198,,,,,,,,
131,2985,131,3.193126,0.182635,0.81095,19,1,1,4,3,2,16,6,2.842675,1,5,-5.478662,,,,,,,,
132,3046,132,-1.468699,0.183116,0.807087,19,0,1,6,6,0,4,1,0.476162,1,0,-2.761919,,,,,,,,
133,3050,133,-14.582764,0.228363,0.806833,26,1,1,4,3,0,2,3,1.607394,0,4,-6.396303,,,,,,,,
134,3076,134,-5.335279,0.196713,0.805187,25,1,1,5,4,1,35,7,2.97867,1,6,-6.910665,,,,,,,,
135,3147,135,-23.468139,0.201659,0.80069,33,0,1,6,6,0,0,1,0.728789,0,1,-2.335606,,,,,,,,
136,3247,136,-1.908613,0.202373,0.794357,32,0,1,6,6,0,16,1,0.700967,0,1,-3.549516,,,,,,,,
137,3262,137,20.59091,0.180774,0.793407,25,0,1,6,6,0,14,1,0.395903,0,1,-6.102048,,,,,,,,
138,3264,138,-18.483116,0.187326,0.79328,32,1,1,5,4,0,10,9,3.488223,9,0,27.544112,,,,,,,,
139,3281,139,-22.744585,0.196116,0.792203,40,0,1,6,6,0,0,0,0.0,0,0,-2.4,,,,,,,,
140,3286,140,30.721235,0.163932,0.791887,15,1,1,3,2,4,68,2,0.999359,0,2,-3.700321,,,,,,,,
141,3293,141,-16.479286,0.195307,0.791443,39,0,1,6,6,0,0,0,0.0,0,0,-3.6,,,,,,,,
142,3320,142,-15.754614,0.173283,0.789733,36,0,1,6,6,0,3,0,0.0,0,0,-2.4,,,,,,,,
143,3326,143,-2.502802,0.140953,0.789353,4,1,1,1,0,0,3,6,3.313891,2,4,1.656945,,,,,,,,
144,3334,144,3.427975,0.153552,0.788847,3,1,1,1,0,1,26,8,4.030014,0,8,-9.984993,,,,,,,,
145,3448,145,-8.579396,0.154298,0.781627,8,1,1,2,1,0,0,4,2.67953,3,1,8.839765,,,,,,,,
146,3458,146,-13.107528,0.177209,0.780993,35,1,1,6,5,0,4,3,1.618508,0,3,-7.290746,,,,,,,,
147,3459,147,2.790916,0.173696,0.78093,37,0,1,6,6,0,49,2,0.668846,0,2,-5.065577,,,,,,,,
148,3480,148,41.590288,0.182038,0.7796,2,1,1,1,0,8,57,13,6.744002,8,5,19.872001,,,,,,,,
